Ticker,Trade,Nombre,Symbol,RawType,Country,IbkType,Currency,Exchange,Exchange2
ABBN SW Equity,-19,ABB Ltd,ABBN,Equity,SW,STK,CHF,EBS,
ALSN SW Equity,23,ALSO Holding AG,ALSN,Equity,SW,STK,CHF,EBS,
COTN SW Equity,-2,Comet Holding AG,COTN,Equity,SW,STK,CHF,EBS,
IFCN SW Equity,23,Inficon Holding AG,IFCN,Equity,SW,STK,CHF,EBS,
KARN SW Equity,-7,Kardex Holding AG,KARN,Equity,SW,STK,CHF,EBS,
KNIN SW Equity,24,Kuehne + Nagel International AG,KNIN,Equity,SW,STK,CHF,EBS,
LEHN SW Equity,-15,LEM Holding SA,LEHN,Equity,SW,STK,CHF,EBS,
LOGN SW Equity,-12,Logitech International SA,LOGN,Equity,SW,STK,CHF,EBS,
ASML NA Equity,-3,ASML Holding NV,ASML,Equity,NA,STK,EUR,AEB,
ROVI SM Equity,-114,Laboratorios Farmaceuticos Rovi SA,ROVI,Equity,SM,STK,EUR,BM,
MONC IM Equity,851,Moncler SpA,MONC,Equity,IM,STK,EUR,BVME,
AIXA GR Equity,-1600,AIXTRON SE,AIXA,Equity,GR,STK,EUR,IBIS,
BC8 GR Equity,83,Bechtle AG,BC8,Equity,GR,STK,EUR,IBIS,
DB1 GR Equity,301,Deutsche Boerse AG,DB1,Equity,GR,STK,EUR,IBIS,
ELG GR Equity,-52,Elmos Semiconductor SE,ELG,Equity,GR,STK,EUR,IBIS,
FTK GR Equity,-5339,flatexDEGIRO AG,FTK,Equity,GR,STK,EUR,IBIS,
GFT GR Equity,409,GFT Technologies SE,GFT,Equity,GR,STK,EUR,IBIS,
IFX GR Equity,1679,Infineon Technologies AG,IFX,Equity,GR,STK,EUR,IBIS,
SAP GR Equity,324,SAP SE,SAP,Equity,GR,STK,EUR,IBIS,
SMHN GR Equity,-209,SUESS MicroTec SE,SMHN,Equity,GR,STK,EUR,IBIS,
TPE GR Equity,85,PVA TePla AG,TPE,Equity,GR,STK,EUR,IBIS,
VBK GR Equity,583,Verbio SE,VBK,Equity,GR,STK,EUR,IBIS,
GTT FP Equity,399,Gaztransport Et Technigaz SA,GTT,Equity,FP,STK,EUR,SBF,
ITP FP Equity,-1081,Interparfums SA,ITP,Equity,FP,STK,EUR,SBF,
MC FP Equity,-69,LVMH Moet Hennessy Louis Vuitton SE,MC,Equity,FP,STK,EUR,SBF,
STMPA FP Equity,-16,STMicroelectronics NV,STMPA,Equity,FP,STK,EUR,SBF,
TRI FP Equity,31,Trigano SA,TRI,Equity,FP,STK,EUR,SBF,
VER AV Equity,-717,Verbund AG,VER,Equity,AV,STK,EUR,VSE,
CCC LN Equity,643,Computacenter PLC,CCC,Equity,LN,STK,GBP,LSE,
FOUR LN Equity,300,4imprint Group PLC,FOUR,Equity,LN,STK,GBP,LSE,
GRG LN Equity,-1625,Greggs PLC,GRG,Equity,LN,STK,GBP,LSE,
III LN Equity,605,3i Group PLC,III,Equity,LN,STK,GBP,LSE,
NFG LN Equity,-4576,Next 15 Group PLC,NFG,Equity,LN,STK,GBP,LSE
RNWH LN Equity,2031,Renew Holdings PLC,RNWH,Equity,LN,STK,GBP,LSE,
YOU LN Equity,4314,YouGov PLC,YOU,Equity,LN,STK,GBP,LSE,
2222 JP Equity,-2400,Kotobuki Spirits Co Ltd,2222,Equity,JP,STK,JPY,TSEJ,
3088 JP Equity,-1700,MatsukiyoCocokara & Co,3088,Equity,JP,STK,JPY,TSEJ,
3635 JP Equity,900,Koei Tecmo Holdings Co Ltd,3635,Equity,JP,STK,JPY,TSEJ,
3774 JP Equity,400,Internet Initiative Japan Inc,3774,Equity,JP,STK,JPY,TSEJ,
4063 JP Equity,100,Shin-Etsu Chemical Co Ltd,4063,Equity,JP,STK,JPY,TSEJ,
4187 JP Equity,300,Osaka Organic Chemical Industry Ltd,4187,Equity,JP,STK,JPY,TSEJ,
4812 JP Equity,300,Dentsu Soken Inc,4812,Equity,JP,STK,JPY,TSEJ,
4971 JP Equity,400,MEC Co Ltd,4971,Equity,JP,STK,JPY,TSEJ,
5384 JP Equity,100,Fujimi Inc,5384,Equity,JP,STK,JPY,TSEJ,
6361 JP Equity,-500,Ebara Corp,6361,Equity,JP,STK,JPY,TSEJ,
6407 JP Equity,1800,CKD Corp,6407,Equity,JP,STK,JPY,TSEJ,
6432 JP Equity,100,Takeuchi Manufacturing Co Ltd,6432,Equity,JP,STK,JPY,TSEJ,
6920 JP Equity,100,Lasertec Corp,6920,Equity,JP,STK,JPY,TSEJ,
6951 JP Equity,200,Jeol Ltd,6951,Equity,JP,STK,JPY,TSEJ,
6967 JP Equity,200,Shinko Electric Industries Co Ltd,6967,Equity,JP,STK,JPY,TSEJ,
8035 JP Equity,-200,Tokyo Electron Ltd,8035,Equity,JP,STK,JPY,TSEJ,
9697 JP Equity,200,Capcom Co Ltd,9697,Equity,JP,STK,JPY,TSEJ,
9749 JP Equity,200,Fuji Soft Inc,9749,Equity,JP,STK,JPY,TSEJ,
ACN US Equity,369,Accenture PLC,ACN,Equity,US,STK,USD,ISLAND,NYSE
ADBE US Equity,41,Adobe Inc,ADBE,Equity,US,STK,USD,ISLAND,NYSE
AGCO US Equity,138,AGCO Corp,AGCO,Equity,US,STK,USD,ISLAND,NYSE
AMAT US Equity,-122,Applied Materials Inc,AMAT,Equity,US,STK,USD,ISLAND,NYSE
AMP US Equity,-6,Ameriprise Financial Inc,AMP,Equity,US,STK,USD,ISLAND,NYSE
