Ticker,Nombre,Final
2222 JP Equity,Kotobuki Spirits Co Ltd,"  2,500 "
3088 JP Equity,MatsukiyoCocokara & Co,"  1,900 "
3626 JP Equity,TIS Inc,"  1,500 "
3635 JP Equity,Koei Tecmo Holdings Co Ltd,"  2,800 "
3774 JP Equity,Internet Initiative Japan Inc,"  1,700 "
4063 JP Equity,Shin-Etsu Chemical Co Ltd,  800 
4186 JP Equity,Tokyo Ohka Kogyo Co Ltd,"  1,600 "
4187 JP Equity,Osaka Organic Chemical Industry Ltd,"  1,900 "
4812 JP Equity,Dentsu Soken Inc,  900 
4971 JP Equity,MEC Co Ltd,"  1,100 "
5384 JP Equity,Fujimi Inc,"  1,800 "
6856 JP Equity,Horiba Ltd,  400 
6951 JP Equity,Jeol Ltd,  800 
6967 JP Equity,Shinko Electric Industries Co Ltd,  900 
8035 JP Equity,Tokyo Electron Ltd,  200 
9697 JP Equity,Capcom Co Ltd,  900 
9719 JP Equity,SCSK Corp,"  1,700 "
9749 JP Equity,Fuji Soft Inc,  800 
ADBE US Equity,Adobe Inc,  232 
AGCO US Equity,AGCO Corp,"  1,176 "
AIXA GR Equity,AIXTRON SE,"  1,707 "
ALSN SW Equity,ALSO Holding AG,  116 
AMAT US Equity,Applied Materials Inc,  904 
AMP US Equity,Ameriprise Financial Inc,  370 
AOS US Equity,A O Smith Corp,"  1,699 "
ARCB US Equity,ArcBest Corp,"  1,177 "
ASML NA Equity,ASML Holding NV,  86 
BC8 GR Equity,Bechtle AG,"  1,245 "
BKNG US Equity,Booking Holdings Inc,  39 
BX US Equity,Blackstone Inc,"  1,161 "
CCC LN Equity,Computacenter PLC,"  1,536 "
CELH US Equity,Celsius Holdings Inc,"  2,248 "
COR US Equity,Cencora Inc,  625 
COTN SW Equity,Comet Holding AG,  106 
DDS US Equity,Dillard's Inc,  361 
DECK US Equity,Deckers Outdoor Corp,  192 
DHI US Equity,DR Horton Inc,  899 
ELG GR Equity,Elmos Semiconductor SE,  842 
EME US Equity,EMCOR Group Inc,  629 
EVR US Equity,Evercore Inc,  819 
FIX US Equity,Comfort Systems USA Inc,  679 
FOUR LN Equity,4imprint Group PLC,  910 
FTK GR Equity,flatexDEGIRO AG,"  5,407 "
GFT GR Equity,GFT Technologies SE,"  1,940 "
GRG LN Equity,Greggs PLC,"  1,600 "
GWW US Equity,WW Grainger Inc,  164 
HUBB US Equity,Hubbell Inc,  420 
IFX GR Equity,Infineon Technologies AG,"  1,668 "
III LN Equity,3i Group PLC,"  1,826 "
INRN SW Equity,Interroll Holding AG,  11 
ITT US Equity,ITT Inc,"  1,171 "
KARN SW Equity,Kardex Holding AG,  132 
KFRC US Equity,Kforce Inc,"  2,139 "
KLAC US Equity,KLA Corp,  245 
KNIN SW Equity,Kuehne + Nagel International AG,  96 
LEHN SW Equity,LEM Holding SA,  14 
LEN US Equity,Lennar Corp,  912 
LOGN SW Equity,Logitech International SA,  348 
LRCX US Equity,Lam Research Corp,  181 
LULU US Equity,Lululemon Athletica Inc,  290 
MATX US Equity,Matson Inc,"  1,215 "
MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE,  84 
MCK US Equity,McKesson Corp,  281 
MOH US Equity,Molina Healthcare Inc,  359 
MONC IM Equity,Moncler SpA,"  1,056 "
MSFT US Equity,Microsoft Corp,  351 
MTH US Equity,Meritage Homes Corp,  807 
MYRG US Equity,MYR Group Inc,  990 
NFG LN Equity,Next 15 Group PLC,"  5,175 "
NSSC US Equity,Napco Security Technologies Inc,"  4,171 "
NVR US Equity,NVR Inc,  19 
OC US Equity,Owens Corning,  932 
OLN US Equity,Olin Corp,"  2,685 "
ON US Equity,ON Semiconductor Corp,"  1,856 "
PGHN SW Equity,Partners Group Holding AG,  25 
QCOM US Equity,QUALCOMM Inc,  985 
QLYS US Equity,Qualys Inc,  713 
RJF US Equity,Raymond James Financial Inc,"  1,266 "
RMBS US Equity,Rambus Inc,"  2,056 "
RNWH LN Equity,Renew Holdings PLC,"  5,070 "
ROCK US Equity,Gibraltar Industries Inc,"  1,714 "
ROVI SM Equity,Laboratorios Farmaceuticos Rovi SA,  899 
SAIA US Equity,Saia Inc,  311 
SMHN GR Equity,SUESS MicroTec SE,"  1,994 "
SNA US Equity,Snap-on Inc,  482 
SPNS US Equity,Sapiens International Corp NV,"  5,081 "
STMPA FP Equity,STMicroelectronics NV,"  1,408 "
TRI FP Equity,Trigano SA,  394 
UFPI US Equity,UFP Industries Inc,"  1,191 "
UNH US Equity,UnitedHealth Group Inc,  263 
VER AV Equity,Verbund AG,  709 
VLO US Equity,Valero Energy Corp,"  1,041 "
VRTX US Equity,Vertex Pharmaceuticals Inc,  316 
WIRE US Equity,Encore Wire Corp,  640 
WLK US Equity,Westlake Corp,"  1,026 "
WSM US Equity,Williams-Sonoma Inc,  678 
WSO US Equity,Watsco Inc,  340 
YOU LN Equity,YouGov PLC,"  3,755 "
