Id,Region,Ticker,Nombre,Trade,Money,Currency,Min Mom 5Y10Y,Value Factor,Mom 1Y Factor,Mom+Val Adj,Correlation,GAP,100,EUR Initial Position,NOTHING,Initial,Final
1,EURCE,FTK GR Equity,flatexDEGIRO AG,616,"-6,360",EUR,19%,1.85,  1.40 ,1.74,0.18,1.56,"  4,791 ","  5,407 ",,,
2,EURCE,VBK GR Equity,Verbio Vereinigte Bioenergie AG,"-1,947","40,653",EUR,27%,2.07,  0.40 ,1.65,0.14,1.52,"  1,947 ",  -   ,,,
3,EURCE,VER AV Equity,Verbund AG,81,"-6,375",EUR,16%,1.39,  1.14 ,1.33,0.16,1.17,  628 ,  709 ,,,
4,EURCE,ROVI SM Equity,Laboratorios Farmaceuticos Rovi SA,-23,"1,428",EUR,22%,1.15,  1.75 ,1.30,0.15,1.14,  922 ,  899 ,,,
5,EURCE,ELG GR Equity,Elmos Semiconductor SE,132,"-8,752",EUR,21%,1.49,  1.09 ,1.39,0.34,1.05,  710 ,  842 ,,,
6,EURCE,SMHN GR Equity,SUESS MicroTec SE,-35,980,EUR,15%,1.21,  1.59 ,1.30,0.30,1.00,"  2,029 ","  1,994 ",,,
7,EURCE,GFT GR Equity,GFT Technologies SE,112,"-3,223",EUR,18%,1.45,  0.90 ,1.31,0.33,0.98,"  1,828 ","  1,940 ",,,
8,EURCE,TRI FP Equity,Trigano SA,19,"-2,692",EUR,13%,1.65,  1.16 ,1.53,0.61,0.92,  375 ,  394 ,,,
9,EURCE,BC8 GR Equity,Bechtle AG,47,"-2,108",EUR,16%,1.04,  1.30 ,1.10,0.45,0.65,"  1,198 ","  1,245 ",,,
10,EURCE,MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE,13,"-8,646",EUR,22%,1.18,  0.88 ,1.11,0.47,0.63,  71 ,  84 ,,,
11,EURCE,MONC IM Equity,Moncler SpA,118,"-6,240",EUR,13%,1.17,  1.02 ,1.14,0.52,0.61,  938 ,"  1,056 ",,,
12,EURCE,STMPA FP Equity,STMicroelectronics NV,247,"-9,791",EUR,24%,1.35,  1.07 ,1.28,0.68,0.60,"  1,161 ","  1,408 ",,,
13,EURCE,AIXA GR Equity,AIXTRON SE,"1,707","-55,836",EUR,11%,1.03,  1.17 ,1.06,0.50,0.57,  -   ,"  1,707 ",,,
14,EURCE,MELE BB Equity,Melexis NV,-584,"46,924",EUR,12%,1.26,  0.95 ,1.18,0.63,0.56,  584 ,  -   ,,,
15,EURCE,IFX GR Equity,Infineon Technologies AG,285,"-9,536",EUR,15%,1.27,  1.10 ,1.23,0.68,0.55,"  1,383 ","  1,668 ",,,
16,EURCE,ASML NA Equity,ASML Holding NV,8,"-5,195",EUR,27%,1.07,  1.09 ,1.08,0.67,0.41,  78 ,  86 ,,,
17,EURCH,PGHN SW Equity,Partners Group Holding AG,-2,"2,215",CHF,20%,1.42,  1.44 ,1.43,0.58,0.84,  27 ,  25 ,,,
18,EURCH,ALSN SW Equity,ALSO Holding AG,-12,"2,922",CHF,23%,1.11,  1.60 ,1.23,0.51,0.72,  128 ,  116 ,,,
19,EURCH,LOGN SW Equity,Logitech International SA,-48,"3,892",CHF,26%,0.86,  1.72 ,1.07,0.42,0.65,  396 ,  348 ,,,
20,EURCH,INRN SW Equity,Interroll Holding AG,11,"-27,555",CHF,17%,0.98,  1.15 ,1.02,0.40,0.61,  -   ,  11 ,,,
21,EURCH,LEHN SW Equity,LEM Holding SA,-2,"3,892",CHF,18%,1.13,  1.17 ,1.14,0.54,0.60,  16 ,  14 ,,,
22,EURCH,KNIN SW Equity,Kuehne + Nagel International AG,-18,"5,305",CHF,17%,0.86,  1.55 ,1.03,0.44,0.59,  114 ,  96 ,,,
23,EURCH,COTN SW Equity,Comet Holding AG,-18,"4,802",CHF,24%,1.07,  1.35 ,1.14,0.58,0.56,  124 ,  106 ,,,
24,EURCH,KARN SW Equity,Kardex Holding AG,-17,"3,621",CHF,19%,1.06,  1.39 ,1.14,0.63,0.51,  149 ,  132 ,,,
25,EURCH,IFCN SW Equity,Inficon Holding AG,-27,"34,020",CHF,21%,0.81,  1.56 ,1.00,0.59,0.41,  27 ,  -   ,,,
26,EURUK,NFG LN Equity,Next 15 Group PLC,"5,175","-42,435",GBp,13%,1.78,  0.80 ,1.54,0.32,1.22,  -   ,"  5,175 ",,,
27,EURUK,YOU LN Equity,YouGov PLC,"3,755","-42,432",GBp,25%,1.16,  1.19 ,1.17,0.11,1.05,  -   ,"  3,755 ",,,
28,EURUK,FOUR LN Equity,4imprint Group PLC,-9,420,GBp,23%,1.34,  1.14 ,1.29,0.25,1.05,  919 ,  910 ,,,
29,EURUK,III LN Equity,3i Group PLC,22,-511,GBp,24%,1.60,  1.75 ,1.64,0.63,1.01,"  1,804 ","  1,826 ",,,
30,EURUK,RNWH LN Equity,Renew Holdings PLC,-25,209,GBp,18%,1.34,  1.24 ,1.32,0.39,0.93,"  5,095 ","  5,070 ",,,
31,EURUK,CCC LN Equity,Computacenter PLC,-52,"1,436",GBp,18%,1.23,  1.45 ,1.29,0.42,0.86,"  1,588 ","  1,536 ",,,
32,EURUK,HWDN LN Equity,Howden Joinery Group PLC,"-5,230","40,459",GBp,11%,1.23,  1.27 ,1.24,0.60,0.64,"  5,230 ",  -   ,,,
33,EURUK,GRG LN Equity,Greggs PLC,-99,"2,625",GBp,15%,1.17,  1.09 ,1.15,0.53,0.62,"  1,699 ","  1,600 ",,,
34,EURUK,RS1 LN Equity,RS GROUP PLC,"-5,093","38,157",GBp,10%,1.30,  0.88 ,1.20,0.65,0.55,"  5,093 ",  -   ,,,
35,AMERICA,MOH US Equity,Molina Healthcare Inc,1,-382,USD,24%,1.33,  1.26 ,1.31,-0.06,1.37,  358 ,  359 ,,,
36,AMERICA,MCK US Equity,McKesson Corp,-16,"7,820",USD,14%,1.17,  1.27 ,1.20,-0.12,1.32,  297 ,  281 ,,,
37,AMERICA,UNH US Equity,UnitedHealth Group Inc,15,"-7,847",USD,19%,1.13,  1.06 ,1.11,-0.17,1.28,  248 ,  263 ,,,
38,AMERICA,COR US Equity,Cencora Inc,-35,"7,692",USD,16%,1.16,  1.33 ,1.20,-0.02,1.22,  660 ,  625 ,,,
39,AMERICA,UTHR US Equity,United Therapeutics Corp,-515,"113,254",USD,9%,1.46,  0.83 ,1.31,0.31,0.99,  515 ,  -   ,,,
40,AMERICA,DECK US Equity,Deckers Outdoor Corp,4,"-2,859",USD,26%,0.91,  1.68 ,1.10,0.14,0.96,  188 ,  192 ,,,
41,AMERICA,VLO US Equity,Valero Energy Corp,16,"-2,110",USD,16%,1.20,  0.99 ,1.15,0.20,0.95,"  1,025 ","  1,041 ",,,
42,AMERICA,BCC US Equity,Boise Cascade Co,"-1,105","145,716",USD,23%,1.43,  2.02 ,1.58,0.66,0.92,"  1,105 ",  -   ,,,
43,AMERICA,ARCB US Equity,ArcBest Corp,11,"-1,284",USD,17%,1.27,  1.49 ,1.32,0.41,0.92,"  1,166 ","  1,177 ",,,
44,AMERICA,CELH US Equity,Celsius Holdings Inc,-290,"17,719",USD,88%,0.90,  1.69 ,1.09,0.23,0.86,"  2,538 ","  2,248 ",,,
45,AMERICA,EME US Equity,EMCOR Group Inc,31,"-6,772",USD,21%,1.14,  1.44 ,1.21,0.36,0.85,  598 ,  629 ,,,
46,AMERICA,NSSC US Equity,Napco Security Technologies Inc,321,"-10,571",USD,30%,0.97,  1.13 ,1.01,0.23,0.78,"  3,850 ","  4,171 ",,,
47,AMERICA,MSFT US Equity,Microsoft Corp,-8,"3,130",USD,32%,0.92,  1.63 ,1.10,0.32,0.77,  359 ,  351 ,,,
48,AMERICA,MYRG US Equity,MYR Group Inc,990,"-137,407",USD,22%,1.03,  1.37 ,1.12,0.35,0.77,  -   ,  990 ,,,
49,AMERICA,DHI US Equity,DR Horton Inc,38,"-5,805",USD,25%,1.26,  1.61 ,1.35,0.59,0.76,  861 ,  899 ,,,
50,AMERICA,VRTX US Equity,Vertex Pharmaceuticals Inc,316,"-137,195",USD,19%,0.88,  1.45 ,1.02,0.28,0.75,  -   ,  316 ,,,
51,AMERICA,AGCO US Equity,AGCO Corp,97,"-11,333",USD,12%,1.40,  0.87 ,1.26,0.53,0.73,"  1,079 ","  1,176 ",,,
