Duplicates,alias,description,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,issuer_id
X,AIXTRON SE,AIXTRON SE,53902669,AIXA,STK,IBIS,EUR,,IBIS,,,,
X,AIXTRON SE,AIXTRON SE-NEW,474808435,AIXN,STK,VALUE,EUR,,VALUE,,,,
X,AIXTRON SE,AIXTRON SE-NEW,547954211,AIX.OLD,STK,VALUE,EUR,,VALUE,,,,
X,AIXTRON SE,AIXTRON SE-NEW,617974211,AIX1,STK,FWB,EUR,,FWB,,,,
X,AIXTRON SE,AIXTRON SE-NEW,689365059,AIX,STK,IBIS,EUR,,IBIS,,,,
X,ASML HOLDING NV,ASML HOLDING NV,117589399,ASML,STK,AEB,EUR,,AEB,,,,
X,ASML HOLDING NV,ASML HOLDING NV-NY REG SHS,634508953,ASMF,STK,FWB,EUR,,FWB,,,,
X,ELMOS SEMICONDUCTOR SE,ELMOS SEMICONDUCTOR SE,13636313,ELG,STK,IBIS,EUR,,IBIS,,,,
X,ELMOS SEMICONDUCTOR SE,ELMOS SEMICONDUCTOR SE - TENDER 21/09/08,510438652,ELG.TEN1,STK,CORPACT,EUR,,CORPACT,,,,
X,ELMOS SEMICONDUCTOR SE,ELMOS SEMICONDUCTOR SE - TEN 211231,510656475,ELG.TEN2,STK,CORPACT,EUR,,CORPACT,,,,
X,ALPHABET INC,ALPHABET INC-CL A,208710587,ABEA,STK,IBIS,EUR,,IBIS,,,,
X,ALPHABET INC,ALPHABET INC-CL C,208914695,ABEC,STK,IBIS,EUR,,IBIS,,,,
X,STMICROELECTRONICS NV,STMICROELECTRONICS NV,29612246,STMPA,STK,SBF,EUR,,SBF,,,,
X,STMICROELECTRONICS NV,STMICROELECTRONICS NV-NY SHS,565372533,SGMR,STK,FWB,EUR,,FWB,,,,
X,WATSCO INC,WATSCO INC -CL B,603524529,WC30,STK,FWB2,EUR,,FWB2,,,,
X,WATSCO INC,WATSCO INC,603531090,WC3,STK,FWB2,EUR,,FWB2,,,,
,TIS INC,TIS INC,603519140,4HO,STK,FWB2,EUR,,FWB2,,,,
,KOEI TECMO HOLDINGS CO LTD,KOEI TECMO HOLDINGS CO LTD,603527379,85T,STK,FWB2,EUR,,FWB2,,,,
,SHIN-ETSU CHEMICAL CO LTD,SHIN-ETSU CHEMICAL CO LTD,30411233,SEH,STK,FWB2,EUR,,FWB2,,,,
,CHUGAI PHARMACEUTICAL CO LTD,CHUGAI PHARMACEUTICAL CO LTD,451697715,CUP,STK,FWB2,EUR,,FWB2,,,,
,HORIBA LTD,HORIBA LTD,603527229,01H,STK,FWB2,EUR,,FWB2,,,,
,ADVANTEST CORP,ADVANTEST CORP,30411287,VAN1,STK,FWB2,EUR,,FWB2,,,,
,CAPCOM CO LTD,CAPCOM CO LTD,376081768,CPK,STK,FWB2,EUR,,FWB2,,,,
,SCSK CORP,SCSK CORP,381837402,QSU,STK,FWB2,EUR,,FWB2,,,,
,ADOBE INC,ADOBE INC,13013250,ADB,STK,FWB,EUR,,FWB,,,,
,AGCO CORP,AGCO CORP,75099081,AGJ,STK,FWB,EUR,,FWB,,,,
