Portfolio
Account Number,Account Alias,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
U5921580,C282(IB),YOU,LSE,6302,GBP,9.8214703,61894.91,10.2780624,-2877.44,0.00,No,STK,61894.91
U5921580,C282(IB),WSO,NYSE,261,USD,475.0700073,123993.27,398.9542108,19866.22,0.00,No,STK,123993.27
U5921580,C282(IB),VRTX,NASDAQ,302,USD,455.3399963,137512.68,422.635099,9876.88,0.00,No,STK,137512.68
U5921580,C282(IB),VLO,NYSE,772,USD,157.0599975,121250.32,117.3523474,30654.31,0.00,No,STK,121250.32
U5921580,C282(IB),UNH,NYSE,246,USD,495.00,121770.00,495.1532788,-37.71,0.00,No,STK,121770.00
U5921580,C282(IB),UFPI,NASDAQ,1038,USD,119.15,123677.70,111.1692487,8284.02,0.00,No,STK,123677.70
U5921580,C282(IB),TRI,SBF,644,EUR,140.50,90482.00,144.6420638,-2667.49,0.00,No,STK,90482.00
U5921580,C282(IB),TREX,NYSE,1316,USD,86.4899978,113820.84,93.0244302,-8599.31,0.00,No,STK,113820.84
U5921580,C282(IB),SPNS,NASDAQ,3924,USD,33.535801,131594.48,22.9663296,41474.61,0.00,No,STK,131594.48
U5921580,C282(IB),SNPS,NASDAQ,226,USD,561.0800171,126804.08,563.6006084,-569.65,0.00,No,STK,126804.08
U5921580,C282(IB),SNA,NYSE,447,USD,273.0700073,122062.29,259.9414221,5868.48,0.00,No,STK,122062.29
U5921580,C282(IB),SMHN,IBIS,2106,EUR,54.4000015,114566.40,32.0089965,47155.46,0.00,No,STK,114566.40
U5921580,C282(IB),SAIA,NASDAQ,303,USD,409.7290039,124147.89,406.0894782,1102.78,0.00,No,STK,124147.89
U5921580,C282(IB),ROCK,NASDAQ,1689,USD,75.4599991,127451.94,70.0379928,9157.77,0.00,No,STK,127451.94
U5921580,C282(IB),RNWH,LSE,5609,GBP,10.6810999,59910.29,7.6215858,17160.81,0.00,No,STK,59910.29
U5921580,C282(IB),RMBS,NASDAQ,2159,USD,55.00,118745.00,56.3187767,-2847.24,0.00,No,STK,118745.00
U5921580,C282(IB),RJF,NYSE,973,USD,122.762001,119447.43,95.0605685,26953.49,0.00,No,STK,119447.43
U5921580,C282(IB),REGN,NASDAQ,127,USD,979.6500244,124415.55,958.0052023,2748.89,0.00,No,STK,124415.55
