,alias,status,conid,symbol,sec_type,exchange,currency,local_symbol,primary_exchange,trading_class,sec_id_type,sec_id,description,issuer_id
0,TIS INC,UNCONFIRMED,50020161,3626,STK,TSEJ,JPY,,TSEJ,,,,TIS INC,
1,TIS INC,UNCONFIRMED,603519140,4HO,STK,FWB2,EUR,,FWB2,,,,TIS INC,
2,KOEI TECMO HOLDINGS CO LTD,UNCONFIRMED,59156326,3635,STK,TSEJ,JPY,,TSEJ,,,,KOEI TECMO HOLDINGS CO LTD,
3,KOEI TECMO HOLDINGS CO LTD,UNCONFIRMED,603527379,85T,STK,FWB2,EUR,,FWB2,,,,KOEI TECMO HOLDINGS CO LTD,
4,SHIN-ETSU CHEMICAL CO LTD,UNCONFIRMED,13905438,4063,STK,TSEJ,JPY,,TSEJ,,,,SHIN-ETSU CHEMICAL CO LTD,
5,SHIN-ETSU CHEMICAL CO LTD,UNCONFIRMED,30411233,SEH,STK,FWB2,EUR,,FWB2,,,,SHIN-ETSU CHEMICAL CO LTD,
6,CHUGAI PHARMACEUTICAL CO LTD,UNCONFIRMED,14015627,4519,STK,TSEJ,JPY,,TSEJ,,,,CHUGAI PHARMACEUTICAL CO LTD,
7,CHUGAI PHARMACEUTICAL CO LTD,UNCONFIRMED,451697715,CUP,STK,FWB2,EUR,,FWB2,,,,CHUGAI PHARMACEUTICAL CO LTD,
8,CHUGAI PHARMACEUTICAL CO LTD,UNCONFIRMED,519563799,4519N,STK,MEXI,MXN,,MEXI,,,,CHUGAI PHARMACEUTICAL CO LTD,
9,HORIBA LTD,UNCONFIRMED,14017028,6856,STK,TSEJ,JPY,,TSEJ,,,,HORIBA LTD,
10,HORIBA LTD,UNCONFIRMED,551841750,6856N,STK,MEXI,MXN,,MEXI,,,,HORIBA LTD,
11,HORIBA LTD,UNCONFIRMED,603527229,01H,STK,FWB2,EUR,,FWB2,,,,HORIBA LTD,
12,HORIBA LTD,UNCONFIRMED,-1,,BOND,,,,,,,,Horiba Ltd,e1420016
13,ADVANTEST CORP,UNCONFIRMED,13905743,6857,STK,TSEJ,JPY,,TSEJ,,,,ADVANTEST CORP,
14,ADVANTEST CORP,UNCONFIRMED,41138100,ATEYY,STK,PINK,USD,,PINK,,,,ADVANTEST CORP- SPON ADR,
15,ADVANTEST CORP,UNCONFIRMED,30411287,VAN1,STK,FWB2,EUR,,FWB2,,,,ADVANTEST CORP,
16,CAPCOM CO LTD,UNCONFIRMED,14019244,9697,STK,TSEJ,JPY,,TSEJ,,,,CAPCOM CO LTD,
17,CAPCOM CO LTD,UNCONFIRMED,108730301,CCOEY,STK,PINK,USD,,PINK,,,,CAPCOM CO LTD - ADR UNSPON,
18,CAPCOM CO LTD,UNCONFIRMED,376081768,CPK,STK,FWB2,EUR,,FWB2,,,,CAPCOM CO LTD,
19,CAPCOM CO LTD,UNCONFIRMED,443957252,9697N,STK,MEXI,MXN,,MEXI,,,,CAPCOM CO LTD,
20,SCSK CORP,UNCONFIRMED,14019269,9719,STK,TSEJ,JPY,,TSEJ,,,,SCSK CORP,
21,SCSK CORP,UNCONFIRMED,381837402,QSU,STK,FWB2,EUR,,FWB2,,,,SCSK CORP,
22,SCSK CORP,UNCONFIRMED,-1,,BOND,,,,,,,,SCSK Corp,e1419619
23,ADOBE INC,UNCONFIRMED,265768,ADBE,STK,NASDAQ,USD,,NASDAQ,,,,ADOBE INC,
24,ADOBE INC,UNCONFIRMED,13013250,ADB,STK,FWB,EUR,,FWB,,,,ADOBE INC,
25,ADOBE INC,UNCONFIRMED,501760684,ADBE,STK,MEXI,MXN,,MEXI,,,,ADOBE INC,
26,ADOBE INC,UNCONFIRMED,655603353,ADBE,STK,AEQLIT,CAD,,AEQLIT,,,,ADOBE INC-CDR,
27,ADOBE INC,UNCONFIRMED,-1,,BOND,,,,,,,,Adobe Inc,e1395090
28,AGCO CORP,UNCONFIRMED,4230,AGCO,STK,NYSE,USD,,NYSE,,,,AGCO CORP,
29,AGCO CORP,UNCONFIRMED,75099081,AGJ,STK,FWB,EUR,,FWB,,,,AGCO CORP,
